time,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,divergence,geopotential,mean_sea_level_pressure,relative_humidity,specific_humidity,temperature,total_cloud_cover,total_column_water_vapour,u_component_of_wind,v_component_of_wind,vertical_velocity,wind_speed,total_precipitation
01-31-1960,1.1198163,-4.183118,281.2434,-3.3449833e-06,79423.74,101719.16,0.27846384,0.0013559748,245.17552,0.27826512,14.608385,10.65749,-15.223354,0.15552825,21.019623,0.0015384732
02-01-1960,-0.78721464,-1.2715108,282.9909,9.398318e-07,79737.95,101856.625,0.4026944,0.0014254034,245.34822,0.9876418,14.565676,14.071328,1.9270126,0.04599674,15.974595,0.026629608
02-02-1960,-0.09480871,-0.65600425,283.51935,1.8212802e-06,79674.266,101924.48,0.3999676,0.0014695259,245.37875,0.849409,16.33426,17.29712,9.466127,0.017974142,20.590878,0.051853016
02-03-1960,-4.4253473,1.6286627,286.64853,3.3964652e-06,79193.74,101189.086,0.38054022,0.0019562875,246.61325,0.8194215,19.639158,14.81842,13.485086,-0.12355281,23.114157,0.4089507
02-04-1960,-1.7105911,3.8185458,287.31802,9.012727e-06,78977.164,100562.97,0.32574323,0.0020551095,247.72005,0.7113554,20.52295,20.161648,22.701477,-0.32210678,32.503582,31.448885
02-05-1960,4.700246,0.6639594,286.2107,3.380654e-06,78909.88,100888.06,0.23055306,0.0013527543,246.809,0.30695647,13.568434,26.590864,16.729452,-0.003229208,32.24267,0.8508089
02-06-1960,4.7670636,-1.4252772,284.32574,1.4512833e-06,78900.83,101457.305,0.23425882,0.0011954468,245.23146,0.62390494,12.086409,29.436085,5.0910106,0.14860454,32.366215,0.021903647
02-07-1960,1.829779,-1.3361316,283.25833,-5.955807e-07,79319.92,101855.27,0.26840436,0.00096832286,245.00307,0.026144562,9.83935,31.050367,4.0619917,0.01681355,32.30682,9.313228e-06
02-08-1960,2.4020352,2.2031293,285.1632,1.7144119e-07,79214.43,101812.586,0.20614894,0.0011766375,245.0574,0.22949854,12.249155,24.235752,-0.72701764,0.0809611,26.051159,0.057530396
02-09-1960,2.585136,6.5768585,289.2888,4.160825e-07,79033.06,100677.19,0.3027221,0.0018018486,246.62076,0.33575028,16.907322,19.972324,-0.6571951,-0.007987406,21.811464,0.0495742
02-10-1960,3.6508887,6.535436,291.90857,-4.5655054e-07,78954.88,99632.58,0.28137645,0.0024032316,248.88832,0.4056846,22.617922,27.031212,8.811209,-0.08218227,29.946215,0.758965
02-11-1960,1.8434672,-2.8104858,285.93024,-3.4098048e-07,79324.5,100812.26,0.16498525,0.0009667395,247.33766,0.00013589382,8.96009,28.69156,9.473413,0.051607374,31.860884,0.00011167164
02-12-1960,-3.875339,-5.4596443,282.85165,3.4935417e-06,79531.95,101764.31,0.29595092,0.0011229509,245.6551,0.3839507,13.727427,21.883644,16.560532,-0.121452205,32.580276,0.7126182
02-13-1960,1.6727115,-8.166696,277.0619,6.073131e-06,78814.68,101223.805,0.3977532,0.0014881684,244.73013,0.99553835,19.183884,21.893955,20.792664,-0.1362491,36.732742,20.080652
02-14-1960,2.0465295,-2.568091,277.21265,-3.1136708e-06,78800.62,102093.45,0.15812755,0.00051442545,243.5664,0.0292568,5.2964287,26.334637,0.016019601,0.18079445,28.798769,0.008740304
02-15-1960,-2.725136,-0.31863707,280.25757,4.096008e-06,79493.08,102521.6,0.2528239,0.00073126046,244.01772,0.23146069,8.167868,29.27707,8.531647,0.0018277214,32.00691,0.0
02-16-1960,-2.1822405,0.07561949,284.10742,-8.169652e-07,79156.23,102003.95,0.286248,0.0013707759,244.66522,0.8266987,14.679745,29.915192,5.769452,-0.0058100303,31.98408,5.841792
02-17-1960,0.570216,-0.3923946,282.6068,5.59525e-07,78983.99,101621.766,0.16848534,0.0008427071,245.02515,0.3922043,7.872239,29.864174,6.8487706,-0.008971461,31.145267,0.023130858
02-18-1960,5.1120543,-0.83543754,282.379,2.9637308e-06,78460.516,101128.86,0.21834159,0.0010314314,244.58147,0.65236264,9.98731,35.265915,5.4602847,-0.017907998,37.63408,2.9978368
02-19-1960,0.37032086,-3.5514398,278.77023,-2.5741318e-07,79309.16,102627.26,0.17591335,0.0004850898,243.81549,0.038169544,4.8067565,28.077269,2.6654048,0.08484128,30.681435,0.0
02-20-1960,-4.3573613,0.1874977,281.09827,-2.0773307e-06,79787.016,102704.06,0.29219586,0.0008590339,244.38153,0.24483907,10.320318,27.005869,4.7905254,0.060777955,30.760439,0.00051304675
02-21-1960,-1.7106366,2.5914302,286.0777,-3.9441484e-06,79722.375,101753.08,0.56185883,0.002507716,246.09375,0.9553298,29.942757,29.319286,12.719314,-0.06713197,33.64768,4.3666434
02-22-1960,-1.1950719,-2.9326108,283.25916,3.864311e-06,79323.875,101659.28,0.44941953,0.0017987695,245.22948,0.89063394,21.395073,29.785763,13.393563,-0.16781732,35.326103,26.503578
02-23-1960,-2.943768,0.11724751,283.41473,-1.841839e-07,79606.65,101865.14,0.17366968,0.0008143755,245.84476,0.04039194,7.294977,28.820833,7.765834,0.01752545,31.603058,0.0
02-24-1960,-4.6267037,1.3976936,285.5282,2.6389343e-06,79522.91,101406.86,0.3432808,0.001791984,246.42943,0.5147713,19.997034,29.710844,13.295481,-0.06506624,34.772255,3.0052357
02-25-1960,4.4097686,-0.99517834,282.9698,1.1459136e-06,78840.9,100697.63,0.27191412,0.001781598,246.3954,0.85341483,18.315737,32.511368,19.515213,-0.02195913,39.070103,13.065789
02-26-1960,2.0601125,-3.522303,277.84253,-2.0008417e-06,78888.766,101975.36,0.18430482,0.0005511695,243.7143,0.020999655,5.395611,31.4217,11.780304,0.05967847,35.584698,0.0
02-27-1960,-2.5305076,-0.3247226,281.8692,7.7509037e-07,79642.86,102363.97,0.31558725,0.00089491316,244.64273,0.67834485,9.993123,28.281517,4.137555,-0.017603941,30.413307,5.4057673e-05
02-28-1960,-3.2013214,2.4741027,286.89355,2.519725e-06,79877.99,101893.89,0.2900163,0.0018852035,246.37357,0.45424715,21.417763,28.612522,4.0826206,-0.03281688,30.935444,0.084833056
02-29-1960,-1.3429503,-2.1603587,287.41687,1.5488835e-08,80108.555,102000.414,0.39241287,0.0024698903,246.66513,0.83385587,27.63168,30.826977,0.6899304,-0.023040045,31.774427,2.0495486
03-01-1960,-4.615217,-4.15907,283.04477,1.1008847e-06,80355.81,102426.31,0.45465118,0.0022254644,246.06293,0.93734664,27.856533,26.199888,2.9552069,-0.043487087,29.33331,3.6270292
03-02-1960,-3.9179049,3.270618,286.3169,4.5390587e-07,80134.4,101619.07,0.45536804,0.0028574024,247.39493,0.89650345,33.29403,24.0271,10.2213545,-0.08946942,28.883833,4.2402697
03-03-1960,5.1052084,-4.871427,280.75934,-5.781269e-07,79705.64,101681.66,0.22495794,0.0011761788,245.97475,0.75282454,12.474771,32.506416,2.1701474,0.037433848,34.121964,11.293231
03-04-1960,-0.9110054,-4.7443867,277.63843,4.326753e-07,79697.414,102729.62,0.16110285,0.0004934311,244.05934,0.022863679,5.821183,26.849905,-2.8423512,0.06418307,29.442514,3.539026e-05
03-05-1960,-0.9093177,-2.5345278,278.76855,-2.7363521e-06,79223.516,102790.25,0.2747771,0.0007767011,242.86258,0.4217547,10.041349,29.429277,-6.4243093,0.05236378,31.193829,2.5461788e-05
